strategy,bins_1,bins_2,dataset,classifier,accuracy_score,f1_score,precision_score,recall_score
no_buckets,5,5,moon,RBF SVM,0.975,0.976744186,0.9545454545,1
uniform,7,6,moon,Nearest Neighbors,0.975,0.976744186,0.9545454545,1
uniform,7,6,moon,RBF SVM,0.975,0.976744186,0.9545454545,1
uniform,7,6,moon,Gaussian Process,0.975,0.976744186,0.9545454545,1
uniform,7,6,moon,Decision Tree,0.975,0.976744186,0.9545454545,1
uniform,7,6,moon,Random Forest,0.975,0.976744186,0.9545454545,1
uniform,7,6,moon,AdaBoost,0.975,0.976744186,0.9545454545,1
uniform,8,6,moon,Nearest Neighbors,0.975,0.976744186,0.9545454545,1
uniform,8,6,moon,Gaussian Process,0.975,0.976744186,0.9545454545,1
uniform,8,6,moon,Random Forest,0.975,0.976744186,0.9545454545,1
uniform,8,9,moon,RBF SVM,0.975,0.976744186,0.9545454545,1
uniform,8,9,moon,Gaussian Process,0.975,0.976744186,0.9545454545,1
uniform,8,9,moon,Decision Tree,0.975,0.976744186,0.9545454545,1
uniform,8,9,moon,Random Forest,0.975,0.976744186,0.9545454545,1
uniform,8,9,moon,AdaBoost,0.975,0.976744186,0.9545454545,1
quantile,6,9,moon,Decision Tree,0.975,0.976744186,0.9545454545,1
quantile,7,8,moon,Nearest Neighbors,0.975,0.976744186,0.9545454545,1
quantile,7,8,moon,RBF SVM,0.975,0.976744186,0.9545454545,1
quantile,7,8,moon,Gaussian Process,0.975,0.976744186,0.9545454545,1
quantile,7,8,moon,Decision Tree,0.975,0.976744186,0.9545454545,1
quantile,7,9,moon,RBF SVM,0.975,0.976744186,0.9545454545,1
quantile,7,9,moon,Gaussian Process,0.975,0.976744186,0.9545454545,1
quantile,7,9,moon,Decision Tree,0.975,0.976744186,0.9545454545,1
quantile,7,9,moon,AdaBoost,0.975,0.976744186,0.9545454545,1
quantile,8,8,moon,Nearest Neighbors,0.975,0.976744186,0.9545454545,1
quantile,8,8,moon,Gaussian Process,0.975,0.976744186,0.9545454545,1
quantile,8,8,moon,Decision Tree,0.975,0.976744186,0.9545454545,1
quantile,9,8,moon,Nearest Neighbors,0.975,0.976744186,0.9545454545,1
no_buckets,5,5,moon,Nearest Neighbors,0.95,0.9545454545,0.9130434783,1
no_buckets,5,5,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
no_buckets,5,5,moon,Decision Tree,0.95,0.9545454545,0.9130434783,1
no_buckets,5,5,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
no_buckets,5,5,linear,RBF SVM,0.95,0.9523809524,1,0.9090909091
no_buckets,5,5,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
no_buckets,5,5,linear,Random Forest,0.95,0.9523809524,1,0.9090909091
no_buckets,5,5,linear,Neural Net,0.95,0.9523809524,1,0.9090909091
no_buckets,5,5,linear,AdaBoost,0.95,0.9523809524,1,0.9090909091
no_buckets,5,5,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,5,5,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,5,5,linear,Decision Tree,0.95,0.9523809524,1,0.9090909091
uniform,5,5,linear,Random Forest,0.95,0.9523809524,1,0.9090909091
uniform,5,5,linear,AdaBoost,0.95,0.9523809524,1,0.9090909091
uniform,5,5,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,5,6,moon,Nearest Neighbors,0.95,0.9545454545,0.9130434783,1
uniform,5,6,moon,RBF SVM,0.95,0.9545454545,0.9130434783,1
uniform,5,6,moon,Gaussian Process,0.95,0.9545454545,0.9130434783,1
uniform,5,6,moon,Decision Tree,0.95,0.9545454545,0.9130434783,1
uniform,5,6,moon,Random Forest,0.95,0.9545454545,0.9130434783,1
uniform,5,6,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,5,6,linear,Nearest Neighbors,0.95,0.9523809524,1,0.9090909091
uniform,5,6,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,5,6,linear,RBF SVM,0.95,0.9523809524,1,0.9090909091
uniform,5,6,linear,Decision Tree,0.95,0.9523809524,1,0.9090909091
uniform,5,6,linear,Random Forest,0.95,0.9523809524,1,0.9090909091
uniform,5,6,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,5,7,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,5,7,linear,RBF SVM,0.95,0.9523809524,1,0.9090909091
uniform,5,7,linear,Decision Tree,0.95,0.9523809524,1,0.9090909091
uniform,5,7,linear,Random Forest,0.95,0.9523809524,1,0.9090909091
uniform,5,7,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,5,8,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,5,8,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,5,8,linear,RBF SVM,0.95,0.9523809524,1,0.9090909091
uniform,5,8,linear,Decision Tree,0.95,0.9523809524,1,0.9090909091
uniform,5,8,linear,Random Forest,0.95,0.9523809524,1,0.9090909091
uniform,5,8,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,5,9,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,5,9,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,5,10,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,5,10,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,5,10,linear,RBF SVM,0.95,0.9523809524,1,0.9090909091
uniform,5,10,linear,Decision Tree,0.95,0.9523809524,1,0.9090909091
uniform,5,10,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,6,5,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,5,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,5,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,5,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,6,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,6,moon,Naive Bayes,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,7,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,7,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,7,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,7,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,7,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,8,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,8,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,9,moon,Nearest Neighbors,0.95,0.9545454545,0.9130434783,1
uniform,6,9,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,9,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,10,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,10,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,10,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,6,10,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,7,5,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,7,5,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,7,5,linear,QDA,0.95,0.9523809524,1,0.9090909091
uniform,7,6,linear,Nearest Neighbors,0.95,0.9523809524,1,0.9090909091
uniform,7,6,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,7,6,linear,RBF SVM,0.95,0.9523809524,1,0.9090909091
uniform,7,6,linear,Random Forest,0.95,0.9523809524,1,0.9090909091
uniform,7,6,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,7,6,linear,QDA,0.95,0.9523809524,1,0.9090909091
uniform,7,7,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,7,7,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,7,7,linear,QDA,0.95,0.9523809524,1,0.9090909091
uniform,7,8,linear,Nearest Neighbors,0.95,0.9523809524,1,0.9090909091
uniform,7,8,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,7,8,linear,RBF SVM,0.95,0.9523809524,1,0.9090909091
uniform,7,8,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,7,8,linear,QDA,0.95,0.9523809524,1,0.9090909091
uniform,7,9,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,7,9,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,7,9,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,7,9,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
